AI_not_Intelligent,AI_had_no_pattern,AI_Mirror_or_copy_moves_or_Controlled_by_participant,Did_not_pay_attention_or_Focused_on_own_movement,Vague,Positive,Negative
,,5f1b2c6bb5afc42e312b436a - BlackD,,,55ea70c37480920010aa9982 - BlackD,
,,5f49b2f8c53d36523363f023 - WhiteD,,,574eab79c18847000e071119 - BlackD,
,,5f9c42916aa4f30b01b97799 - WhiteD,,,5b662ae58e22f000010e724f - BlackD,
,,5fd613af2dfe79498946e08b - WhiteD,,,5b6c312fa1fda800015fe165 - BlackD,
,,5ff3d6822234a6a46b7baf87 - WhiteD,,,5d03e58f43d95b0017553939 - BlackD,
,,5ff4d104e4785a77a59619df - BlackD,,,5d8c46cc53b833001a4bf916 - BlackD,
,,5fec3187b890b1898904a5c6 - WhiteD,,,5e40b90b9847a12f95f3d906 - BlackD,
,,5f91a4aeb9f8bc031e8c27c9 - WhiteD,,,5f230bf8e7c33a062d203d0d - BlackD,
,,5f7ad6a07150671c90978775 - WhiteD,,,5ff09cddc92395491fb16377 - BlackD,
,,5fa4ee443f5d4d1a6dca179d - BlackD,,,5d0d16d991270800010b7dd7 -WhiteD,
,,5f29dfe7512c2817f7957e1a - BlackD,,,5e9a5470150a800edb4ab561 - WhiteD,
,,5f98a4e6124a291c257cc84a - BlackD,,,5fed2fbd937861ab9c606654 - WhiteD,
,,5f4d1371c20934977e621ac3 - WhiteD,,,5f50dc440305bb077d82eca4 - BlackD,
,,5f8f3b4d1c3e4417660591d9 - BlackD,,,5f872af9e3e4870ef4d67cc3 - BlackD,
,,5f57a42b46df8927414990fc - BlackD,,,5dd352c51c219b35931aefd1 - WhiteD,
,,5f5b550f46c58b26f4ce4397 - BlackD,,,59296fb2e8a7ff000163f033 - WhiteD,
,,5fd517f8f3900d32e14666a5 - WhiteD,,,5ff3279ae6b2818a0f265ea8 - BlackD,
,,5fdf547abaa7c477df018824 - BlackD,,,5fc50bb38378c80ac88354ef - BlackD,
,,5f918dd36eafaf09a1c8ef65 - BlackD,,,5bf311373a5bf00001401f64 - BlackD,
,,5fd14eaa396672113a0bb9a1 - BlackD,,,5ff26c6ccd5d9829c7acb614 - BlackD,
